Beginn	BE	Cap	B-BEGIN

Rein	PAR	Cap	B-PARAGRAPH
spekulative	PAR	NoCap	I-PARAGRAPH
Finanzprodukte	PAR	Cap	I-PARAGRAPH
…	PAR	NoCap	I-PARAGRAPH
wollen	PAR	NoCap	I-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
verbieten	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Auf	PAR	Cap	B-PARAGRAPH
Seite	PAR	Cap	I-PARAGRAPH
105	NUM	NoCap	B-NUMBER
fordert	PAR	NoCap	B-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
„existenzsichernde	PAR	NoCap	B-PARAGRAPH
Mindestlöhne“	PAR	Cap	I-PARAGRAPH
für	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
gesamte	PAR	NoCap	I-PARAGRAPH
EU	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
gar	PAR	NoCap	I-PARAGRAPH
eine	PAR	NoCap	I-PARAGRAPH
echte	PAR	NoCap	I-PARAGRAPH
Sozialunion	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Bei	PAR	Cap	B-PARAGRAPH
den	PAR	NoCap	I-PARAGRAPH
Koalitionsverhandlungen	PAR	Cap	I-PARAGRAPH
hat	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
jedoch	PAR	NoCap	B-PARAGRAPH
beim	PAR	NoCap	I-PARAGRAPH
Thema	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Europäischen	PAR	Cap	I-PARAGRAPH
Union	PAR	Cap	I-PARAGRAPH
sofort	PAR	NoCap	I-PARAGRAPH
zugestimmt	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Sie	PAR	Cap	B-PARAGRAPH
haben	PAR	NoCap	I-PARAGRAPH
einfach	PAR	NoCap	I-PARAGRAPH
ein	PAR	NoCap	I-PARAGRAPH
Weiter-so	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Arbeit	PAR	Cap	I-PARAGRAPH

506	NUM	NoCap	B-NUMBER
Deutscher	PAR	Cap	B-PARAGRAPH
Bundestag	PAR	Cap	I-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
18	NUM	NoCap	B-NUMBER
.	DOT	NoCap	B-DOT
Wahlperiode	PAR	Cap	B-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
9	NUM	NoCap	B-NUMBER
.	DOT	NoCap	B-DOT
Sitzung	PAR	Cap	B-PARAGRAPH
.	DOT	NoCap	B-DOT
Berlin	PAR	Cap	B-PARAGRAPH
,	DOT	NoCap	B-DOT
Freitag	PAR	Cap	B-PARAGRAPH
,	DOT	NoCap	B-DOT
den	PAR	NoCap	B-PARAGRAPH
17	NUM	NoCap	B-NUMBER
.	DOT	NoCap	B-DOT
Januar	PAR	Cap	B-PARAGRAPH
2014	NUM	NoCap	B-NUMBER

Alexander	NAME	Cap	B-NAME
Ulrich	NAME	Cap	I-NAME

(	BBRACKET	NoCap	B-BBRACKET
A	PAR	Cap	B-PARAGRAPH
)	EBRACKET	NoCap	B-EBRACKET
(	BBRACKET	NoCap	B-BBRACKET
C	PAR	Cap	B-PARAGRAPH
)	EBRACKET	NoCap	B-EBRACKET

(	BBRACKET	NoCap	B-BBRACKET
D	PAR	Cap	B-PARAGRAPH
)	EBRACKET	NoCap	B-EBRACKET
(	BBRACKET	NoCap	B-BBRACKET
B	PAR	Cap	B-PARAGRAPH
)	EBRACKET	NoCap	B-EBRACKET

von	PAR	NoCap	B-PARAGRAPH
Schwarz-Gelb	PAR	Cap	I-PARAGRAPH
unterschrieben	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Was	PAR	Cap	B-PARAGRAPH
Sie	PAR	Cap	I-PARAGRAPH
mit	PAR	NoCap	I-PARAGRAPH
dem	PAR	NoCap	I-PARAGRAPH
Koalitionsvertrag	PAR	Cap	I-PARAGRAPH
machen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
ist	PAR	NoCap	B-PARAGRAPH
Wahlbetrug	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BBRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
LINKEN	PAR	Cap	I-PARAGRAPH
)	EBRACKET	NoCap	B-EBRACKET

Wir	PAR	Cap	B-PARAGRAPH
Linke	PAR	Cap	I-PARAGRAPH
streiten	PAR	NoCap	I-PARAGRAPH
für	PAR	NoCap	I-PARAGRAPH
eine	PAR	NoCap	I-PARAGRAPH
solidarische	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
demokratische	PAR	NoCap	B-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
soziale	PAR	NoCap	I-PARAGRAPH
Europapolitik	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Dazu	PAR	Cap	B-PARAGRAPH
gehört	PAR	NoCap	I-PARAGRAPH
eineEU-weite	PAR	NoCap	I-PARAGRAPH
Vermögensabgabe	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Die	PAR	Cap	B-PARAGRAPH
Vermögen	PAR	Cap	I-PARAGRAPH
des	PAR	NoCap	I-PARAGRAPH
reichsten	PAR	NoCap	I-PARAGRAPH
1	NUM	NoCap	B-NUMBER
Prozent	PAR	Cap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
EU-Bürgerinnen	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
-Bürger	PAR	NoCap	I-PARAGRAPH
übersteigt	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
gesamte	PAR	NoCap	I-PARAGRAPH
öffentliche	PAR	NoCap	I-PARAGRAPH
Verschuldung	PAR	Cap	I-PARAGRAPH
bei	PAR	NoCap	I-PARAGRAPH
weitem	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Diese	PAR	Cap	B-PARAGRAPH
Topvermögen	PAR	Cap	I-PARAGRAPH
sind	PAR	NoCap	I-PARAGRAPH
sogar	PAR	NoCap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Krise	PAR	Cap	I-PARAGRAPH
rasant	PAR	NoCap	I-PARAGRAPH
weiter	PAR	NoCap	I-PARAGRAPH
gestiegen	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Aber	PAR	Cap	B-PARAGRAPH
da	PAR	NoCap	I-PARAGRAPH
trauen	PAR	NoCap	I-PARAGRAPH
Sie	PAR	Cap	I-PARAGRAPH
sich	PAR	NoCap	I-PARAGRAPH
nicht	PAR	NoCap	I-PARAGRAPH
heran	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Dazu	PAR	Cap	B-PARAGRAPH
gehört	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
ernste	PAR	NoCap	I-PARAGRAPH
Bekämpfung	PAR	Cap	I-PARAGRAPH
von	PAR	NoCap	I-PARAGRAPH
Steuerflucht	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
Steuerhinterziehung	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Laut	PAR	Cap	B-PARAGRAPH
EU-Kommissiongehen	PAR	Cap	I-PARAGRAPH
den	PAR	NoCap	I-PARAGRAPH
Mitgliedstaaten	PAR	Cap	I-PARAGRAPH
jährlich	PAR	NoCap	I-PARAGRAPH
1	NUM	NoCap	B-NUMBER
Billion	PAR	Cap	B-PARAGRAPH
Euro	PAR	Cap	I-PARAGRAPH
wegen	PAR	NoCap	I-PARAGRAPH
Steuerbetrugs	PAR	Cap	I-PARAGRAPH
durch	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Lappen	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Statt	PAR	Cap	B-PARAGRAPH
eine	PAR	NoCap	I-PARAGRAPH
polemische	PAR	NoCap	I-PARAGRAPH
Debatte	PAR	Cap	I-PARAGRAPH
um	PAR	NoCap	I-PARAGRAPH
Armutszuwanderung	PAR	Cap	I-PARAGRAPH
anzuzetteln	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
liebe	PAR	NoCap	B-PARAGRAPH
Kollegen	PAR	Cap	I-PARAGRAPH
von	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
CSU	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
sollten	PAR	NoCap	B-PARAGRAPH
Sie	PAR	Cap	I-PARAGRAPH
sich	PAR	NoCap	I-PARAGRAPH
einmal	PAR	NoCap	I-PARAGRAPH
mit	PAR	NoCap	I-PARAGRAPH
denReichtumsauswanderern	PAR	NoCap	I-PARAGRAPH
beschäftigen	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Denn	PAR	Cap	B-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
Problem	PAR	Cap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
unserem	PAR	NoCap	I-PARAGRAPH
Land	PAR	Cap	I-PARAGRAPH
sind	PAR	NoCap	I-PARAGRAPH
weniger	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Zuwanderer	PAR	Cap	I-PARAGRAPH
ausRumänien	PAR	NoCap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
Bulgarien	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
sondern	PAR	NoCap	B-PARAGRAPH
eher	PAR	NoCap	I-PARAGRAPH
Menschen	PAR	Cap	I-PARAGRAPH
wie	PAR	NoCap	I-PARAGRAPH
Uli	PAR	Cap	I-PARAGRAPH
Hoeneß	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Um	PAR	Cap	B-PARAGRAPH
diese	PAR	NoCap	I-PARAGRAPH
müssen	PAR	NoCap	I-PARAGRAPH
Sie	PAR	Cap	I-PARAGRAPH
sich	PAR	NoCap	I-PARAGRAPH
einmal	PAR	NoCap	I-PARAGRAPH
kümmern	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
denn	PAR	NoCap	B-PARAGRAPH
sie	PAR	NoCap	I-PARAGRAPH
sind	PAR	NoCap	I-PARAGRAPH
im	PAR	NoCap	I-PARAGRAPH
Hinblick	PAR	Cap	I-PARAGRAPH
auf	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Belastung	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Finanzen	PAR	Cap	I-PARAGRAPH
unserer	PAR	NoCap	I-PARAGRAPH
Haushalte	PAR	Cap	I-PARAGRAPH
eher	PAR	NoCap	I-PARAGRAPH
ein	PAR	NoCap	I-PARAGRAPH
Problem	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BBRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
LINKEN	PAR	Cap	I-PARAGRAPH
)	EBRACKET	NoCap	B-EBRACKET

Wenn	PAR	Cap	B-PARAGRAPH
Ihre	PAR	Cap	I-PARAGRAPH
Aussage	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
„Wer	PAR	NoCap	B-PARAGRAPH
betrügt	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
der	PAR	NoCap	B-PARAGRAPH
fliegt“	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
gilt	PAR	NoCap	B-PARAGRAPH
,	DOT	NoCap	B-DOT
dann	PAR	NoCap	B-PARAGRAPH
wird	PAR	NoCap	I-PARAGRAPH
es	PAR	NoCap	I-PARAGRAPH
auf	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Ehrentribüne	PAR	Cap	I-PARAGRAPH
des	PAR	NoCap	I-PARAGRAPH
FC	PAR	Cap	I-PARAGRAPH
Bayern	PAR	Cap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
Zukunft	PAR	Cap	I-PARAGRAPH
ziemlich	PAR	NoCap	I-PARAGRAPH
leer	PAR	NoCap	I-PARAGRAPH
aussehen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
ebenso	PAR	NoCap	B-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
CSU-Landesgruppe	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
Stichwort	PAR	Cap	B-PARAGRAPH
„Amigo“.	PAR	NoCap	I-PARAGRAPH

Zu	PAR	Cap	B-PARAGRAPH
einer	PAR	NoCap	I-PARAGRAPH
sinnvollen	PAR	NoCap	I-PARAGRAPH
Europapolitik	PAR	Cap	I-PARAGRAPH
gehören	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
massive	PAR	NoCap	I-PARAGRAPH
öffentliche	PAR	NoCap	I-PARAGRAPH
Investitionen	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Eine	PAR	Cap	B-PARAGRAPH
Krise	PAR	Cap	I-PARAGRAPH
überwindetman	PAR	NoCap	I-PARAGRAPH
nicht	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
indem	PAR	NoCap	B-PARAGRAPH
man	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Wirtschaft	PAR	Cap	I-PARAGRAPH
kaputtspart	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
sondern	PAR	NoCap	B-PARAGRAPH
nur	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
indem	PAR	NoCap	B-PARAGRAPH
man	PAR	NoCap	I-PARAGRAPH
sie	PAR	NoCap	I-PARAGRAPH
durch	PAR	NoCap	I-PARAGRAPH
sinnvolle	PAR	NoCap	I-PARAGRAPH
Investitionenankurbelt	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Dazu	PAR	Cap	B-PARAGRAPH
gehören	PAR	NoCap	I-PARAGRAPH
endlich	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
wieder	PAR	NoCap	I-PARAGRAPH
anständige	PAR	NoCap	I-PARAGRAPH
Löhne	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
Gehälter	PAR	Cap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
Deutschland	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Die	PAR	Cap	B-PARAGRAPH
Außenhandelsüberschüsse	PAR	Cap	I-PARAGRAPH
müssen	PAR	NoCap	I-PARAGRAPH
abgebaut	PAR	NoCap	I-PARAGRAPH
werden	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Wir	PAR	Cap	B-PARAGRAPH
brauchenendlich	PAR	NoCap	I-PARAGRAPH
einen	PAR	NoCap	I-PARAGRAPH
Mindestlohn	PAR	Cap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
Deutschland	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
nicht	PAR	NoCap	B-PARAGRAPH
erst	PAR	NoCap	I-PARAGRAPH
2017	NUM	NoCap	B-NUMBER
und	PAR	NoCap	B-PARAGRAPH
mit	PAR	NoCap	I-PARAGRAPH
vielen	PAR	NoCap	I-PARAGRAPH
Lücken	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
sondern	PAR	NoCap	B-PARAGRAPH
jetzt	PAR	NoCap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
ohne	PAR	NoCap	I-PARAGRAPH
Ausnahme	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BBRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
LINKEN	PAR	Cap	I-PARAGRAPH
)	EBRACKET	NoCap	B-EBRACKET

Damit	PAR	Cap	B-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
nicht	PAR	NoCap	I-PARAGRAPH
vergessen	PAR	NoCap	I-PARAGRAPH
wird	PAR	NoCap	I-PARAGRAPH
:	COL	NoCap	B-COLON
Wir	PAR	Cap	B-PARAGRAPH
tun	PAR	NoCap	I-PARAGRAPH
immer	PAR	NoCap	I-PARAGRAPH
so	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
als	PAR	NoCap	B-PARAGRAPH
wäre	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Krise	PAR	Cap	I-PARAGRAPH
bei	PAR	NoCap	I-PARAGRAPH
uns	PAR	NoCap	I-PARAGRAPH
vorbei;	PAR	NoCap	I-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
hätten	PAR	NoCap	I-PARAGRAPH
nichts	PAR	NoCap	I-PARAGRAPH
mehr	PAR	NoCap	I-PARAGRAPH
damit	PAR	NoCap	I-PARAGRAPH
zu	PAR	NoCap	I-PARAGRAPH
tun	PAR	NoCap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
könnten	PAR	NoCap	I-PARAGRAPH
anderen	PAR	NoCap	I-PARAGRAPH
Ländern	PAR	Cap	I-PARAGRAPH
vorschreiben	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
was	PAR	NoCap	B-PARAGRAPH
sie	PAR	NoCap	I-PARAGRAPH
zu	PAR	NoCap	I-PARAGRAPH
tun	PAR	NoCap	I-PARAGRAPH
haben	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Deutschland	PAR	Cap	B-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
mit	PAR	NoCap	I-PARAGRAPH
seiner	PAR	NoCap	I-PARAGRAPH
Politik	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
auch	PAR	NoCap	B-PARAGRAPH
durch	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Außenhandelsüberschüsse	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
Mitverursacher	PAR	Cap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Krise;	PAR	Cap	I-PARAGRAPH
denn	PAR	NoCap	I-PARAGRAPH
unsere	PAR	NoCap	I-PARAGRAPH
Außenhandelsüberschüsse	PAR	Cap	I-PARAGRAPH
sind	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Schulden	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
anderen	PAR	NoCap	I-PARAGRAPH
Länder	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Daswird	PAR	Cap	B-PARAGRAPH
Ihnen	PAR	Cap	I-PARAGRAPH
jeder	PAR	NoCap	I-PARAGRAPH
Ökonom	PAR	Cap	I-PARAGRAPH
erklären	PAR	NoCap	I-PARAGRAPH
können	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Deshalb	PAR	Cap	B-PARAGRAPH
darf	PAR	NoCap	I-PARAGRAPH
Deutschland	PAR	Cap	I-PARAGRAPH
nicht	PAR	NoCap	I-PARAGRAPH
mit	PAR	NoCap	I-PARAGRAPH
dem	PAR	NoCap	I-PARAGRAPH
Finger	PAR	Cap	I-PARAGRAPH
auf	PAR	NoCap	I-PARAGRAPH
andere	PAR	NoCap	I-PARAGRAPH
zeigen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
sondern	PAR	NoCap	B-PARAGRAPH
muss	PAR	NoCap	I-PARAGRAPH
anfangen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
seine	PAR	NoCap	B-PARAGRAPH
eigene	PAR	NoCap	I-PARAGRAPH
Wirtschaftspolitik	PAR	Cap	I-PARAGRAPH
zu	PAR	NoCap	I-PARAGRAPH
verändern	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
indem	PAR	NoCap	B-PARAGRAPH
es	PAR	NoCap	I-PARAGRAPH
seine	PAR	NoCap	I-PARAGRAPH
Außenhandelsüberschüsse	PAR	Cap	I-PARAGRAPH
abbaut	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Wir	PAR	Cap	B-PARAGRAPH
hoffen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
EU-Kommission	PAR	Cap	I-PARAGRAPH
da	PAR	NoCap	I-PARAGRAPH
weiterhin	PAR	NoCap	I-PARAGRAPH
Druck	PAR	Cap	I-PARAGRAPH
auf	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Bundesregierung	PAR	Cap	I-PARAGRAPH
macht	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Wenn	PAR	Cap	B-PARAGRAPH
hier	PAR	NoCap	I-PARAGRAPH
im	PAR	NoCap	I-PARAGRAPH
Parlament	PAR	Cap	I-PARAGRAPH
oder	PAR	NoCap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Regierung	PAR	Cap	I-PARAGRAPH
einige	PAR	NoCap	I-PARAGRAPH
sagen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
die	PAR	NoCap	B-PARAGRAPH
EUKommission	PAR	Cap	I-PARAGRAPH
mache	PAR	NoCap	I-PARAGRAPH
da	PAR	NoCap	I-PARAGRAPH
etwas	PAR	NoCap	I-PARAGRAPH
verkehrt	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
soll	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Hinweisgestattet	PAR	Cap	I-PARAGRAPH
sein	PAR	NoCap	I-PARAGRAPH
:	COL	NoCap	B-COLON
Alles	PAR	Cap	B-PARAGRAPH
,	DOT	NoCap	B-DOT
was	PAR	NoCap	B-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
EU-Kommission	PAR	Cap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
Brüssel	PAR	Cap	I-PARAGRAPH
macht	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
alle	PAR	NoCap	B-PARAGRAPH
Verträge	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
die	PAR	NoCap	B-PARAGRAPH
da	PAR	NoCap	I-PARAGRAPH
geschlossen	PAR	NoCap	I-PARAGRAPH
worden	PAR	NoCap	I-PARAGRAPH
sind	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
kommen	PAR	NoCap	B-PARAGRAPH
nur	PAR	NoCap	I-PARAGRAPH
mit	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Beteiligung	PAR	Cap	I-PARAGRAPH
Deutschlands	PAR	Cap	I-PARAGRAPH
zustande	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Sie	PAR	Cap	B-PARAGRAPH
haben	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Verträge	PAR	Cap	I-PARAGRAPH
mit	PAR	NoCap	I-PARAGRAPH
unterschrieben	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
und	PAR	NoCap	B-PARAGRAPH
darin	PAR	NoCap	I-PARAGRAPH
stehen	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
6	NUM	NoCap	B-NUMBER
Prozent	PAR	Cap	B-PARAGRAPH
Außenhandelsüberschüsse	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Alsoarbeiten	PAR	Cap	B-PARAGRAPH
Sie	PAR	Cap	I-PARAGRAPH
daran;	PAR	NoCap	I-PARAGRAPH
sonst	PAR	NoCap	I-PARAGRAPH
wird	PAR	NoCap	I-PARAGRAPH
Europa	PAR	Cap	I-PARAGRAPH
zusammenbrechen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
und	PAR	NoCap	B-PARAGRAPH
dann	PAR	NoCap	I-PARAGRAPH
fällt	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Europawahl	PAR	Cap	I-PARAGRAPH
wirklich	PAR	NoCap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
ein	PAR	NoCap	I-PARAGRAPH
historisches	PAR	NoCap	I-PARAGRAPH
Zeitfenster	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
Herr	TITLE	Cap	B-TITLE
Schäfer	NAME	Cap	B-NAME
.	DOT	NoCap	B-DOT

(	BBRACKET	NoCap	B-BBRACKET
Axel	NAME	Cap	B-NAME
Schäfer	NAME	Cap	I-NAME
[	PAR	NoCap	B-PARAGRAPH
Bochum	PAR	Cap	I-PARAGRAPH
]	PAR	NoCap	I-PARAGRAPH
[	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
]	PAR	NoCap	B-PARAGRAPH
:	COL	NoCap	B-COLON
Jetzt	PAR	Cap	B-PARAGRAPH
werde	PAR	NoCap	I-PARAGRAPH
ich	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
noch	PAR	NoCap	I-PARAGRAPH
gesiezt	PAR	NoCap	I-PARAGRAPH
!	DOT	NoCap	B-DOT
)	EBRACKET	NoCap	B-EBRACKET

Vielen	PAR	Cap	B-PARAGRAPH
Dank	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BBRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
LINKEN	PAR	Cap	I-PARAGRAPH
)	EBRACKET	NoCap	B-EBRACKET

Präsident	PRE	Cap	B-PRESIDENT
Dr.	TITLE	Cap	B-TITLE
Norbert$Lammert	NAME	Cap	B-NAME
:	COL	NoCap	B-COLON

Gunther	NAME	Cap	B-NAME
Krichbaum	NAME	Cap	I-NAME
ist	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
nächste	PAR	NoCap	I-PARAGRAPH
Redner	PAR	Cap	I-PARAGRAPH
für	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH

CDU/CSU-Fraktion.	PAR	Cap	B-PARAGRAPH

(	BBRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
CDU/CSU	FRACT	Cap	B-FRACTION
sowie	PAR	NoCap	B-PARAGRAPH
bei	PAR	NoCap	I-PARAGRAPH
