Plenarprotokoll	PLE	Cap	B-PLENARYPRO
mitzuwirken	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Dies	PAR	Cap	B-PARAGRAPH
sind	PAR	NoCap	I-PARAGRAPH
zwei	PAR	NoCap	I-PARAGRAPH
weitere	PAR	NoCap	I-PARAGRAPH
Gründe	PAR	Cap	I-PARAGRAPH
für	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Ablehnung	PAR	Cap	I-PARAGRAPH
des	PAR	NoCap	I-PARAGRAPH
Antrags	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
LINKEN	FRACT	Cap	B-FRACTION
)	BRACKET	NoCap	B-EBRACKET

Nun	PAR	Cap	B-PARAGRAPH
stellen	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Bündnisgrünen	PAR	Cap	I-PARAGRAPH
einen	PAR	NoCap	I-PARAGRAPH
Antrag	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
der	PAR	NoCap	B-PARAGRAPH
so	PAR	NoCap	I-PARAGRAPH
aussieht	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
als	PAR	NoCap	B-PARAGRAPH
könnte	PAR	NoCap	I-PARAGRAPH
er	PAR	NoCap	I-PARAGRAPH
rechtskonform	PAR	NoCap	I-PARAGRAPH
sein	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Sie	PAR	Cap	B-PARAGRAPH
beantragen	PAR	NoCap	I-PARAGRAPH
nämlich	PAR	NoCap	I-PARAGRAPH
nichts	PAR	NoCap	I-PARAGRAPH
anderes	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
als	PAR	NoCap	B-PARAGRAPH
alle	PAR	NoCap	I-PARAGRAPH
Ausschüsse	PAR	Cap	I-PARAGRAPH
der17	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Wahlperiode	PAR	Cap	B-PARAGRAPH
einzusetzen	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Das	PAR	Cap	B-PARAGRAPH
Problem	PAR	Cap	I-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT

(	BRACKET	NoCap	B-BBRACKET
Michael	NAME	Cap	B-NAME
Grosse-Brömer	NAME	Cap	I-NAME
[	PAR	NoCap	B-PARAGRAPH
CDU	FRACT	Cap	B-FRACTION
/	DIV	NoCap	B-DIV
CSU	FRACT	Cap	B-FRACTION
]	PAR	NoCap	B-PARAGRAPH
:	COL	NoCap	B-COLON

Rechtswidrig	PAR	Cap	B-PARAGRAPH
!	DOT	NoCap	B-DOT
)	BRACKET	NoCap	B-EBRACKET

dass	PAR	NoCap	B-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
dies	PAR	NoCap	I-PARAGRAPH
keine	PAR	NoCap	I-PARAGRAPH
ständigen	PAR	NoCap	I-PARAGRAPH
Ausschüsse	PAR	Cap	I-PARAGRAPH
sind	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Die	PAR	Cap	B-PARAGRAPH
Grünen	PAR	Cap	I-PARAGRAPH
sagen	PAR	NoCap	I-PARAGRAPH
ja	PAR	NoCap	I-PARAGRAPH
selbst	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
sie	PAR	NoCap	I-PARAGRAPH
sich	PAR	NoCap	I-PARAGRAPH
selbst	PAR	NoCap	I-PARAGRAPH
auflösen	PAR	NoCap	I-PARAGRAPH
sollen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
sobald	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
endgültige	PAR	NoCap	I-PARAGRAPH
Zuschnitt	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Ausschüsse	PAR	Cap	I-PARAGRAPH
feststeht	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Aufgrund	PAR	Cap	B-PARAGRAPH
dieses	PAR	NoCap	I-PARAGRAPH
Punktes	PAR	Cap	I-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
dieser	PAR	NoCap	I-PARAGRAPH
Antragnicht	PAR	Cap	I-PARAGRAPH
rechtskonform	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
Abgeordneten	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
LINKEN	FRACT	Cap	B-FRACTION
)	BRACKET	NoCap	B-EBRACKET

Dieser	PAR	Cap	B-PARAGRAPH
Antrag	PAR	Cap	I-PARAGRAPH
hat	PAR	NoCap	I-PARAGRAPH
mich	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
deshalb	PAR	NoCap	I-PARAGRAPH
ein	PAR	NoCap	I-PARAGRAPH
wenig	PAR	NoCap	I-PARAGRAPH
gewundert	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
weil	PAR	NoCap	B-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Runde	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Parlamentarischen	PAR	Cap	I-PARAGRAPH
Geschäftsführer	PAR	Cap	I-PARAGRAPH
vonseiten	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Grünen	PAR	Cap	I-PARAGRAPH
gesagt	PAR	NoCap	I-PARAGRAPH
wurde	PAR	NoCap	I-PARAGRAPH
:	COL	NoCap	B-COLON
DieGesetzentwürfe	PAR	Cap	B-PARAGRAPH
des	PAR	NoCap	I-PARAGRAPH
Bundesrates	PAR	Cap	I-PARAGRAPH
sollten	PAR	NoCap	I-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
im	PAR	NoCap	I-PARAGRAPH
Hauptausschuss	PAR	Cap	I-PARAGRAPH
beraten	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
–	PAR	NoCap	B-PARAGRAPH
Okay	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
Sie	PAR	Cap	B-PARAGRAPH
müssen	PAR	NoCap	I-PARAGRAPH
klären	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
welcherWiderspruch	PAR	NoCap	B-PARAGRAPH
sich	PAR	NoCap	I-PARAGRAPH
hier	PAR	NoCap	I-PARAGRAPH
zeigt	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BRACKET	NoCap	B-BBRACKET
Michael	NAME	Cap	B-NAME
Grosse-Brömer	NAME	Cap	I-NAME
[	PAR	NoCap	B-PARAGRAPH
CDU	FRACT	Cap	B-FRACTION
/	DIV	NoCap	B-DIV
CSU	FRACT	Cap	B-FRACTION
]	PAR	NoCap	B-PARAGRAPH
:	COL	NoCap	B-COLON
Sehr	PAR	Cap	B-PARAGRAPH
gut	PAR	NoCap	I-PARAGRAPH
!	DOT	NoCap	B-DOT
)	BRACKET	NoCap	B-EBRACKET

Fakt	PAR	Cap	B-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
:	COL	NoCap	B-COLON
Hätten	PAR	Cap	B-PARAGRAPH
Sie	PAR	Cap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
letzten	PAR	NoCap	I-PARAGRAPH
Bundestagssitzung	PAR	Cap	I-PARAGRAPH
unserem	PAR	NoCap	I-PARAGRAPH
Antrag	PAR	Cap	I-PARAGRAPH
zugestimmt	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dann	PAR	NoCap	B-PARAGRAPH
wäre	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Bundestag	PAR	Cap	I-PARAGRAPH
längst	PAR	NoCap	I-PARAGRAPH
arbeitsfähig	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
und	PAR	NoCap	B-PARAGRAPH
er	PAR	NoCap	I-PARAGRAPH
wäre	PAR	NoCap	I-PARAGRAPH
es	PAR	NoCap	I-PARAGRAPH
demokratisch	PAR	NoCap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
rechtskonform	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Danke	PAR	Cap	B-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
LINKEN	FRACT	Cap	B-FRACTION
)	BRACKET	NoCap	B-EBRACKET

78	NUM	NoCap	B-NUMBER
Deutscher	PAR	Cap	B-PARAGRAPH
Bundestag	PAR	Cap	I-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
18	NUM	NoCap	B-NUMBER
.	DOT	NoCap	B-DOT
Wahlperiode	PAR	Cap	B-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
3	NUM	NoCap	B-NUMBER
.	DOT	NoCap	B-DOT
Sitzung	MEETING	Cap	B-MEETING
.	DOT	NoCap	B-DOT
Berlin	STATE	Cap	B-STATE
,	DOT	NoCap	B-DOT
Donnerstag	WEEKDAY	Cap	B-WEEKDAY
,	DOT	NoCap	B-DOT
den	PAR	NoCap	B-PARAGRAPH
28	NUM	NoCap	B-NUMBER
.	DOT	NoCap	B-DOT
November	MONTH	Cap	B-MONTH
2013	NUM	NoCap	B-NUMBER

(	BRACKET	NoCap	B-BBRACKET
C	PAR	Cap	B-PARAGRAPH
)	BRACKET	NoCap	B-EBRACKET

(	BRACKET	NoCap	B-BBRACKET
D	PAR	Cap	B-PARAGRAPH
)	BRACKET	NoCap	B-EBRACKET
(	BRACKET	NoCap	B-BBRACKET
B	PAR	Cap	B-PARAGRAPH
)	BRACKET	NoCap	B-EBRACKET

Präsident	PRE	Cap	B-PRESIDENT
Dr.	TITLE	Cap	B-TITLE
Norbert	NAME	Cap	B-NAME
Lammert	NAME	Cap	I-NAME
:	COL	NoCap	B-COLON

Thomas	NAME	Cap	B-NAME
Oppermann	NAME	Cap	I-NAME
ist	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
nächste	PAR	NoCap	I-PARAGRAPH
Redner	PAR	Cap	I-PARAGRAPH
für	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH

SPD-Fraktion	PAR	Cap	B-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
)	BRACKET	NoCap	B-EBRACKET

Thomas	NAME	Cap	B-NAME
Oppermann	NAME	Cap	I-NAME
(	BRACKET	NoCap	B-BBRACKET
SPD	FRACT	Cap	B-FRACTION
)	BRACKET	NoCap	B-EBRACKET
:	COL	NoCap	B-COLON

Herr	TITLE	Cap	B-TITLE
Präsident	PRE	Cap	B-PRESIDENT
!	DOT	NoCap	B-DOT
Meine	PAR	Cap	B-PARAGRAPH
Damen	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
Herren	PAR	Cap	I-PARAGRAPH
!	DOT	NoCap	B-DOT
Heute	PAR	Cap	B-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
28	NUM	NoCap	B-NUMBER
.	DOT	NoCap	B-DOT
November	MONTH	Cap	B-MONTH
.	DOT	NoCap	B-DOT

(	BRACKET	NoCap	B-BBRACKET
Zurufe	PAR	Cap	B-PARAGRAPH
vom	PAR	NoCap	I-PARAGRAPH
BÜNDNIS	FRACT	Cap	B-FRACTION
90	NUM	Cap	I-FRACTION
/	DIV	NoCap	B-DIV
DIE	PAR	Cap	B-FRACTION
GRÜNEN	FRACT	Cap	I-FRACTION
:	COL	NoCap	B-COLON
Ach	PAR	Cap	B-PARAGRAPH
!	DOT	NoCap	B-DOT
)	BRACKET	NoCap	B-EBRACKET

Gestern	PAR	Cap	B-PARAGRAPH
sind	PAR	NoCap	I-PARAGRAPH
erfolgreich	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Koalitionsverhandlungen	PAR	Cap	I-PARAGRAPH
zwischen	PAR	NoCap	I-PARAGRAPH
CDU	FRACT	Cap	B-FRACTION
/	DIV	NoCap	B-DIV
CSU	FRACT	Cap	B-FRACTION
und	PAR	NoCap	B-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
abgeschlossen	PAR	NoCap	B-PARAGRAPH
worden	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Bei	PAR	Cap	B-PARAGRAPH
normalem	PAR	NoCap	I-PARAGRAPH
Verlauf	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Dinge	PAR	Cap	I-PARAGRAPH
würde	PAR	NoCap	I-PARAGRAPH
am	PAR	NoCap	I-PARAGRAPH
morgigen	PAR	NoCap	I-PARAGRAPH
Freitag	WEEKDAY	Cap	B-WEEKDAY
ein	PAR	NoCap	B-PARAGRAPH
kleiner	PAR	NoCap	I-PARAGRAPH
oder	PAR	NoCap	I-PARAGRAPH
ein	PAR	NoCap	I-PARAGRAPH
großer	PAR	NoCap	I-PARAGRAPH
Parteitag	PAR	Cap	I-PARAGRAPH
über	PAR	NoCap	I-PARAGRAPH
den	PAR	NoCap	I-PARAGRAPH
Koalitionsvertrag	PAR	Cap	I-PARAGRAPH
debattieren	PAR	NoCap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
entscheiden	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
und	PAR	NoCap	B-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
könnten	PAR	NoCap	I-PARAGRAPH
dann	PAR	NoCap	I-PARAGRAPH
am	PAR	NoCap	I-PARAGRAPH
Montag	WEEKDAY	Cap	B-WEEKDAY
mit	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Wahl	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Bundeskanzlerin	PAR	Cap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Regierungsbildung	PAR	Cap	I-PARAGRAPH
einleiten	PAR	NoCap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
noch	PAR	NoCap	I-PARAGRAPH
im	PAR	NoCap	I-PARAGRAPH
Laufeder	PAR	Cap	I-PARAGRAPH
Woche	PAR	Cap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Ausschüsse	PAR	Cap	I-PARAGRAPH
festlegen	PAR	NoCap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
konstituieren	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Dass	PAR	Cap	B-PARAGRAPH
es	PAR	NoCap	I-PARAGRAPH
diesmal	PAR	NoCap	I-PARAGRAPH
anders	PAR	NoCap	I-PARAGRAPH
läuft	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
liegt	PAR	NoCap	B-PARAGRAPH
nicht	PAR	NoCap	I-PARAGRAPH
nur	PAR	NoCap	I-PARAGRAPH
an	PAR	NoCap	I-PARAGRAPH
den	PAR	NoCap	I-PARAGRAPH
sehr	PAR	NoCap	I-PARAGRAPH
aufwendigen	PAR	NoCap	I-PARAGRAPH
Sondierungsgesprächen	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
die	PAR	NoCap	B-PARAGRAPH
den	PAR	NoCap	I-PARAGRAPH
Koalitionsverhandlungen	PAR	Cap	I-PARAGRAPH
vorangegangen	PAR	NoCap	I-PARAGRAPH
sind	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
sondern	PAR	NoCap	B-PARAGRAPH
auchdaran	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
sich	PAR	NoCap	B-PARAGRAPH
entschieden	PAR	NoCap	I-PARAGRAPH
hat	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
über	PAR	NoCap	B-PARAGRAPH
diesen	PAR	NoCap	I-PARAGRAPH
Koalitionsvertrag	PAR	Cap	I-PARAGRAPH
ihre	PAR	NoCap	I-PARAGRAPH
Mitglieder	PAR	Cap	I-PARAGRAPH
entscheiden	PAR	NoCap	I-PARAGRAPH
zu	PAR	NoCap	I-PARAGRAPH
lassen	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
sowie	PAR	NoCap	B-PARAGRAPH
des	PAR	NoCap	I-PARAGRAPH
Abg	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Volker	NAME	Cap	B-NAME
Kauder	NAME	Cap	I-NAME
[	PAR	NoCap	B-PARAGRAPH
CDU	FRACT	Cap	B-FRACTION
/	DIV	NoCap	B-DIV
CSU	FRACT	Cap	B-FRACTION
]	PAR	NoCap	B-PARAGRAPH
)	BRACKET	NoCap	B-EBRACKET

Ich	PAR	Cap	B-PARAGRAPH
möchte	PAR	NoCap	I-PARAGRAPH
bei	PAR	NoCap	I-PARAGRAPH
Ihnen	PAR	Cap	I-PARAGRAPH
allen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
Kollegen	PAR	Cap	B-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
Kolleginnen	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
um	PAR	NoCap	B-PARAGRAPH
Verständnis	PAR	Cap	I-PARAGRAPH
dafür	PAR	NoCap	I-PARAGRAPH
werben	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
ein	PAR	NoCap	I-PARAGRAPH
solchesdemokratisches	PAR	NoCap	I-PARAGRAPH
Experiment	PAR	Cap	I-PARAGRAPH
eingehen	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Das	PAR	Cap	B-PARAGRAPH
hat	PAR	NoCap	I-PARAGRAPH
bisher	PAR	NoCap	I-PARAGRAPH
noch	PAR	NoCap	I-PARAGRAPH
keine	PAR	NoCap	I-PARAGRAPH
Partei	PAR	Cap	I-PARAGRAPH
so	PAR	NoCap	I-PARAGRAPH
gemacht	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Ich	PAR	Cap	B-PARAGRAPH
meine	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
das	PAR	NoCap	B-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
kein	PAR	NoCap	I-PARAGRAPH
Rückschlag	PAR	Cap	I-PARAGRAPH
für	PAR	NoCap	I-PARAGRAPH
unsere	PAR	NoCap	I-PARAGRAPH
Demokratie	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
sondern	PAR	NoCap	B-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
eher	PAR	NoCap	I-PARAGRAPH
eine	PAR	NoCap	I-PARAGRAPH
Bereicherung	PAR	Cap	I-PARAGRAPH
für	PAR	NoCap	I-PARAGRAPH
unsere	PAR	NoCap	I-PARAGRAPH
Demokratie	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
)	BRACKET	NoCap	B-EBRACKET

Einen	PAR	Cap	B-PARAGRAPH
Parteitag	PAR	Cap	I-PARAGRAPH
mit	PAR	NoCap	I-PARAGRAPH
500	NUM	NoCap	B-NUMBER
oder	PAR	NoCap	B-PARAGRAPH
600	NUM	NoCap	B-NUMBER
Delegierten	PAR	Cap	B-PARAGRAPH
kann	PAR	NoCap	I-PARAGRAPH
man	PAR	NoCap	I-PARAGRAPH
an	PAR	NoCap	I-PARAGRAPH
einem	PAR	NoCap	I-PARAGRAPH
Wochenende	PAR	Cap	I-PARAGRAPH
durchführen	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Wenn	PAR	Cap	B-PARAGRAPH
aber	PAR	NoCap	I-PARAGRAPH
470	NUM	NoCap	B-NUMBER
000	NUM	NoCap	I-NUMBER
Mitglieder	PAR	Cap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
diese	PAR	NoCap	B-PARAGRAPH
Entscheidung	PAR	Cap	I-PARAGRAPH
treffen	PAR	NoCap	I-PARAGRAPH
sollen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dann	PAR	NoCap	B-PARAGRAPH
brauchen	PAR	NoCap	I-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
dafür	PAR	NoCap	I-PARAGRAPH
zwei	PAR	NoCap	I-PARAGRAPH
Wochen	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Das	PAR	Cap	B-PARAGRAPH
sind	PAR	NoCap	I-PARAGRAPH
zwei	PAR	NoCap	I-PARAGRAPH
Wochen	PAR	Cap	I-PARAGRAPH
für	PAR	NoCap	I-PARAGRAPH
mehr	PAR	NoCap	I-PARAGRAPH
innerparteiliche	PAR	NoCap	I-PARAGRAPH
Demokratie	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
–	PAR	NoCap	B-PARAGRAPH
Katrin	NAME	Cap	B-NAME
Göring-Eckardt	NAME	Cap	I-NAME
[	PAR	NoCap	B-PARAGRAPH
BÜNDNIS	FRACT	Cap	B-FRACTION
90	NUM	Cap	I-FRACTION
/	DIV	NoCap	B-DIV
DIE	PAR	Cap	B-FRACTION
GRÜNEN	FRACT	Cap	I-FRACTION
]	PAR	NoCap	B-PARAGRAPH
:	COL	NoCap	B-COLON
Deswegen	PAR	Cap	B-PARAGRAPH
kann	PAR	NoCap	I-PARAGRAPH
man	PAR	NoCap	I-PARAGRAPH
doch	PAR	NoCap	I-PARAGRAPH
nicht	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
Parlament	PAR	Cap	I-PARAGRAPH
lahmlegen	PAR	NoCap	I-PARAGRAPH
!	DOT	NoCap	B-DOT
)	BRACKET	NoCap	B-EBRACKET

–	PAR	NoCap	B-PARAGRAPH
Frau	TITLE	Cap	B-TITLE
Göring-Eckardt	PAR	Cap	B-PARAGRAPH
,	DOT	NoCap	B-DOT
vielleicht	PAR	NoCap	B-PARAGRAPH
läuft	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
Ganze	PAR	Cap	I-PARAGRAPH
ja	PAR	NoCap	I-PARAGRAPH
sogar	PAR	NoCap	I-PARAGRAPH
so	PAR	NoCap	I-PARAGRAPH
gut	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
Sie	PAR	Cap	I-PARAGRAPH
am	PAR	NoCap	I-PARAGRAPH
Ende	PAR	Cap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
vergleichbaren	PAR	NoCap	I-PARAGRAPH
Situationen	PAR	Cap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
einmal	PAR	NoCap	I-PARAGRAPH
Ihre	PAR	Cap	I-PARAGRAPH
Mitglieder	PAR	Cap	I-PARAGRAPH
entscheiden	PAR	NoCap	I-PARAGRAPH
lassen	PAR	NoCap	I-PARAGRAPH
wollen	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
)	BRACKET	NoCap	B-EBRACKET

Vielleicht	PAR	Cap	B-PARAGRAPH
gibt	PAR	NoCap	I-PARAGRAPH
es	PAR	NoCap	I-PARAGRAPH
demnächst	PAR	NoCap	I-PARAGRAPH
schon	PAR	NoCap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
Hessen	STATE	Cap	B-STATE
eine	PAR	NoCap	B-PARAGRAPH
Gelegenheit	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
Ihre	PAR	Cap	B-PARAGRAPH
Mitglieder	PAR	Cap	I-PARAGRAPH
zur	PAR	NoCap	I-PARAGRAPH
dortigen	PAR	NoCap	I-PARAGRAPH
Koalition	PAR	Cap	I-PARAGRAPH
zu	PAR	NoCap	I-PARAGRAPH
befragen	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
–	PAR	NoCap	B-PARAGRAPH
Katrin	NAME	Cap	B-NAME
Göring-Eckardt	NAME	Cap	I-NAME
[	PAR	NoCap	B-PARAGRAPH
BÜNDNIS	FRACT	Cap	B-FRACTION
90	NUM	Cap	I-FRACTION
/	DIV	NoCap	B-DIV
DIE	PAR	Cap	B-FRACTION
GRÜNEN	FRACT	Cap	I-FRACTION
]	PAR	NoCap	B-PARAGRAPH
:	COL	NoCap	B-COLON
Sie	PAR	Cap	B-PARAGRAPH
können	PAR	NoCap	I-PARAGRAPH
doch	PAR	NoCap	I-PARAGRAPH
nicht	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
Parlament	PAR	Cap	I-PARAGRAPH
lahmlegen	PAR	NoCap	I-PARAGRAPH
!	DOT	NoCap	B-DOT
)	BRACKET	NoCap	B-EBRACKET

Jetzt	PAR	Cap	B-PARAGRAPH
für	PAR	NoCap	I-PARAGRAPH
eine	PAR	NoCap	I-PARAGRAPH
Übergangszeit	PAR	Cap	I-PARAGRAPH
von	PAR	NoCap	I-PARAGRAPH
nur	PAR	NoCap	I-PARAGRAPH
zwei	PAR	NoCap	I-PARAGRAPH
Wochen	PAR	Cap	I-PARAGRAPH
insgesamt	PAR	NoCap	I-PARAGRAPH
22	NUM	NoCap	B-NUMBER
Ausschüsse	PAR	Cap	B-PARAGRAPH
